# event jet Delta kt z psi m2 multiplicity 
2 2 0.0143917 0.0465835 0.0332329 1.44313 0.083278 2
2 3 0.286041 0.969735 0.0716277 0.951636 78.4191 19
2 3 0.207369 1.4924 0.163745 -1.86487 59.5897 16
2 3 0.18038 1.17484 0.177156 1.92487 38.9378 12
2 3 0.182894 0.331975 0.0599437 3.1392 19.6068 10
2 3 0.158733 0.24354 0.0538691 0.338859 15.0951 8
2 3 0.0819111 0.969377 0.438815 0.123291 12.9553 7
2 3 0.0668555 0.16347 0.161528 2.45542 2.68169 4
2 3 0.0509654 0.177561 0.27446 -0.824995 2.13305 3
2 3 0.0318158 0.103997 0.354885 -2.59985 1.4367 2
2 4 0.320793 4.16869 0.459596 -1.29422 66.6711 16
2 4 0.238202 0.283054 0.0776522 0.532802 19.9426 9
2 4 0.148085 0.500831 0.239382 -0.795711 16.4226 7
2 4 0.134175 0.0208626 0.0144689 -1.80658 8.43445 5
2 4 0.10177 0.132707 0.123066 2.74261 8.28429 4
2 4 0.0525166 0.0947337 0.194129 -1.98022 1.39574 3
2 4 0.0445971 0.040719 0.121923 2.31466 1.01398 2
3 0 0.286227 0.0478497 0.000265468 -2.57056 7160.98 67
3 0 0.266166 0.597327 0.00356461 1.25416 7150.47 66
3 0 0.19816 61.4433 0.492941 2.40354 6925.16 64
3 0 0.193221 17.78 0.288078 -2.243 1023.98 37
3 0 0.167537 0.482806 0.0126704 -0.200669 114.018 20
3 0 0.0567431 1.68313 0.132088 -1.29847 91.4217 18
3 0 0.0365448 2.33138 0.327307 2.089 60.1901 16
3 0 0.0232089 1.01336 0.333006 1.02259 8.12603 10
3 0 0.022351 0.653753 0.334443 -0.542125 3.98132 7
3 0 0.0151357 0.0609135 0.0691397 -2.33881 0.210105 4
3 0 0.0122596 0.30161 0.454048 -1.0767 0.149076 3
3 1 0.306178 42.2533 0.33825 1.79724 4544.14 31
3 1 0.213576 1.89284 0.0328079 2.6368 628.512 25
3 1 0.204868 1.60781 0.0300358 -1.24967 478.805 22
3 1 0.163765 0.0475752 0.00114623 -0.0804498 373.567 16
3 1 0.118368 13.0771 0.436075 -2.2932 355.032 15
3 1 0.0726626 1.16796 0.112483 -0.421697 65.1555 9
3 1 0.0502686 1.48564 0.233017 -2.0659 41.3068 8
3 1 0.0223066 0.965662 0.445015 -1.80827 1.90222 4
3 1 0.019807 0.00471506 0.00440931 1.56792 0.106273 3
3 1 0.00368482 0.0596549 0.301197 2.31902 0.100807 2
3 2 0.397239 4.49443 0.0309414 1.64004 2522.37 57
3 2 0.340965 3.27888 0.0271058 0.477576 1397.6 48
3 2 0.228393 0.468547 0.00594272 3.03056 630.242 42
3 2 0.197654 0.283234 0.00417557 -0.506037 584.47 37
3 2 0.188854 0.690674 0.010701 1.07203 369.982 36
3 2 0.134385 0.568526 0.0125119 -2.392 295.46 33
3 2 0.0879735 2.92446 0.0995388 -0.676028 262.996 31
3 2 0.0622521 0.299345 0.0159897 0.553864 111.828 20
3 2 0.0510009 2.43536 0.161341 2.765 103.318 18
3 2 0.050284 1.36951 0.109724 -1.89521 46.429 13
3 2 0.0294434 1.15717 0.177847 1.14545 26.0296 11
3 2 0.0205875 0.495924 0.132585 -2.05352 14.678 7
3 2 0.0144619 1.03432 0.453808 0.356682 5.56114 6
3 2 0.00747694 0.121075 0.188118 0.179053 1.88548 4
3 2 0.00688215 0.120116 0.249737 -1.14491 1.29798 2
3 3 0.305387 30.1886 0.27985 -1.48551 3099.88 60
3 3 0.276531 0.029291 0.000416387 2.38421 316.637 34
3 3 0.221326 1.94794 0.0346116 1.40841 314.443 32
3 3 0.144355 0.353012 0.00996138 -0.974261 161.558 27
3 3 0.141295 0.542251 0.0157876 -3.11906 147.606 25
3 3 0.093271 1.71923 0.0770212 -0.14301 121.56 23
3 3 0.0780345 2.31339 0.134205 -1.97453 74.0463 19
