# event jet log1overDelta logkt z Delta kt
52 0 2.79233 -0.763203 0.346986 0.0612783 0.466171
53 0 1.68579 -0.18114 0.109612 0.185298 0.834318
53 0 3.4 -1.7392 0.143904 0.0333732 0.175662
53 0 3.74922 -1.53339 0.292813 0.0235361 0.215802
54 0 1.15269 0.213987 0.142898 0.315785 1.23861
54 0 1.46531 0.845804 0.426177 0.231007 2.32985
54 0 2.00913 -0.860371 0.231964 0.134106 0.423005
54 0 2.636 -1.83333 0.213607 0.0716474 0.159881
54 0 2.94454 -4.59235 0.0234278 0.0526265 0.010129
54 0 3.61601 -2.67669 0.318863 0.0268897 0.0687903
61 0 0.953714 1.27939 0.399931 0.385307 3.59446
61 0 1.13586 -2.27799 0.0227745 0.321145 0.10249
61 0 1.91543 -1.30475 0.134322 0.147278 0.271239
61 0 2.05025 -0.751497 0.308736 0.128702 0.47166
61 0 2.79142 -3.7142 0.0484331 0.0613338 0.024375
61 0 3.36468 -2.00934 0.496649 0.0345729 0.134077
63 0 0.971564 -2.07085 0.00360073 0.37849 0.126079
63 0 1.03408 -0.450497 0.0194405 0.355553 0.637312
63 0 1.35334 -0.040685 0.0410501 0.258376 0.960131
63 0 1.35207 -0.716611 0.0217437 0.258704 0.488405
63 0 2.04144 -0.573968 0.0510575 0.129842 0.563286
63 0 2.92963 -2.29939 0.0232924 0.053417 0.10032
63 0 2.98708 -1.51864 0.0551379 0.0504347 0.21901
63 0 3.5801 -0.467411 0.302089 0.027873 0.626623
63 0 3.95704 -1.68545 0.18666 0.0191196 0.185361
63 0 4.3553 -1.89083 0.278322 0.0128385 0.150947
63 0 4.86982 -2.28177 0.436386 0.00767473 0.102103
64 0 1.05297 -0.549623 0.00803443 0.348901 0.577168
64 0 1.16046 0.89353 0.0381702 0.313341 2.44374
64 0 1.59498 0.374379 0.0364623 0.202912 1.45409
64 0 1.63526 -0.433485 0.017558 0.194902 0.648246
64 0 1.99555 1.96296 0.281442 0.135939 7.12041
64 0 2.30754 -1.83111 0.0120414 0.0995057 0.160236
64 0 2.5359 -0.675215 0.048646 0.0791905 0.509047
64 0 2.69559 0.585815 0.211649 0.0675026 1.79645
64 0 2.99989 -0.431904 0.131536 0.0497926 0.649272
64 0 3.12544 0.49976 0.435898 0.0439174 1.64833
64 0 3.82528 -0.867766 0.396314 0.0218124 0.419888
69 0 1.12115 0.703291 0.133785 0.325905 2.02039
69 0 1.33855 -1.765 0.0162572 0.262226 0.171187
69 0 1.49047 0.897771 0.275003 0.225267 2.45413
69 0 2.10255 -5.41979 0.00126223 0.122144 0.00442806
69 0 2.20072 -0.691374 0.157583 0.110723 0.500888
69 0 2.71251 -0.871268 0.260676 0.0663701 0.41842
69 0 4.64672 -3.25029 0.225989 0.00959299 0.0387629
71 0 1.43551 -1.17546 0.00512535 0.237994 0.308676
71 0 1.55669 -1.50454 0.00418432 0.210834 0.22212
71 0 1.57045 -0.808135 0.00854675 0.207952 0.445689
71 0 2.06449 -3.83025 0.000688018 0.126883 0.0217042
71 0 2.1526 0.175849 0.0413036 0.116182 1.19226
71 0 2.51729 -1.56521 0.010878 0.0806779 0.209044
71 0 3.3509 -0.99592 0.0447261 0.0350528 0.369383
71 0 3.35698 -1.10403 0.0422784 0.0348402 0.331531
71 0 3.39861 -2.25886 0.0145018 0.0334198 0.10447
71 0 4.02099 -2.11378 0.0317007 0.0179352 0.120781
71 0 4.4699 -0.332253 0.304596 0.0114484 0.717306
71 0 4.88283 -2.07003 0.116443 0.00757553 0.126182
71 0 5.02494 -2.64305 0.0856514 0.00657196 0.0711438
73 0 0.967895 -0.574427 0.0475656 0.379882 0.563027
73 0 1.06995 -2.066 0.0124441 0.343025 0.126692
73 0 1.35636 -1.62967 0.025952 0.257596 0.195994
73 0 2.20332 -0.242272 0.248638 0.110436 0.784843
75 0 0.92421 -1.92899 0.0118816 0.396845 0.145295
75 0 1.91231 0.776083 0.482325 0.147739 2.17294
75 0 2.50945 -1.04832 0.272914 0.0813126 0.350525
75 0 3.55392 -4.20965 0.0451958 0.0286121 0.0148516
77 0 0.936393 -0.833873 0.0327718 0.39204 0.434364
77 0 1.46871 -1.56962 0.0276386 0.230222 0.208124
77 0 1.92437 0.391888 0.31875 0.145968 1.47977
77 0 2.0972 0.0353621 0.388695 0.1228 1.03599
