# event jet log1overDelta logkt z Delta kt
32 0 1.33846 -1.11973 0.0235894 0.262248 0.326368
32 0 1.89614 -0.233608 0.102258 0.150147 0.791672
32 0 2.04311 0.0838637 0.181234 0.129625 1.08748
32 0 2.91057 -0.334332 0.346848 0.0544448 0.715816
32 0 2.91669 -0.969521 0.283038 0.0541124 0.379265
32 0 3.37479 -2.03286 0.215504 0.0342252 0.130961
32 0 3.95487 -2.69525 0.252988 0.0191612 0.0675254
33 0 0.918478 -0.68381 0.0480772 0.399126 0.50469
33 0 0.98408 -2.02338 0.0141191 0.373783 0.132207
33 0 2.16004 -0.771657 0.1622 0.11532 0.462246
33 0 2.88437 -1.6591 0.164432 0.0558902 0.190309
33 0 4.14762 -2.18169 0.412725 0.0158019 0.11285
34 0 1.38725 0.671647 0.109511 0.24976 1.95746
34 0 1.47258 -0.156745 0.0584932 0.229333 0.854922
34 0 1.63104 0.164443 0.100245 0.195725 1.17874
34 0 1.81245 -1.42791 0.0271696 0.163254 0.23981
34 0 2.2251 -1.84629 0.0277687 0.108057 0.157821
34 0 2.44976 0.685648 0.449327 0.0863144 1.98506
34 0 3.01602 -1.59299 0.147214 0.0489956 0.203318
34 0 3.18766 -2.09998 0.123437 0.0412683 0.122459
34 0 3.8705 -2.6463 0.161416 0.0208479 0.070913
34 0 3.97874 -3.79731 0.0678469 0.0187091 0.0224311
34 0 4.41589 -2.70087 0.337339 0.0120838 0.0671474
35 0 0.918504 0.531068 0.00667782 0.399116 1.70075
35 0 0.922037 -1.63329 0.00077462 0.397708 0.195286
35 0 1.03132 0.996223 0.0119825 0.356535 2.70803
35 0 1.55565 4.01846 0.42073 0.211051 55.6155
35 0 1.80175 1.77864 0.0987945 0.165009 5.92177
35 0 1.91826 3.03838 0.434059 0.146862 20.8714
35 0 1.94802 -0.702162 0.0187555 0.142556 0.495513
35 0 2.46002 1.69594 0.350903 0.0854331 5.45174
35 0 3.24215 -0.239717 0.170572 0.0390797 0.786851
35 0 3.43324 -1.06825 0.108712 0.0322822 0.343609
35 0 3.83466 -0.868376 0.222529 0.0216088 0.419632
35 0 4.1098 -0.648459 0.469575 0.016411 0.522851
40 0 0.964912 -0.501744 0.0325097 0.381017 0.605474
40 0 1.00339 -2.49636 0.00475124 0.366635 0.082384
40 0 1.64536 1.20639 0.367844 0.192942 3.34139
40 0 1.7643 -0.135296 0.170979 0.171307 0.873457
40 0 2.16386 -0.430562 0.228669 0.11488 0.650144
40 0 2.7989 -1.08311 0.291283 0.0608771 0.338542
40 0 3.24054 -1.94748 0.269271 0.0391427 0.142633
41 0 1.00693 0.0952008 0.0139511 0.365338 1.09988
41 0 1.09064 1.33672 0.0531691 0.336001 3.80653
41 0 1.18644 1.55806 0.0768997 0.305305 4.74962
41 0 1.33202 -0.123571 0.0179191 0.263944 0.883759
41 0 2.27477 -0.0380984 0.0510057 0.10282 0.962618
41 0 2.82035 1.61926 0.486319 0.059585 5.04938
41 0 2.84877 0.216604 0.239553 0.0579154 1.24185
41 0 3.0095 -1.46121 0.0690982 0.0493162 0.231956
41 0 3.1555 -1.44424 0.0873599 0.042617 0.235924
41 0 3.65147 -0.748567 0.315156 0.025953 0.473044
41 0 3.66689 -1.47731 0.225487 0.0255559 0.228251
41 0 3.90257 -1.77306 0.274161 0.0201899 0.169813
45 0 0.997318 0.229404 0.0598289 0.368867 1.25785
45 0 1.61115 0.367685 0.13498 0.199657 1.44439
45 0 2.08397 -0.215023 0.13972 0.124435 0.806523
45 0 2.3972 -0.263703 0.211598 0.0909723 0.768201
45 0 2.72157 -3.30099 0.0178048 0.0657717 0.0368465
45 0 3.60045 -1.47188 0.27189 0.0273114 0.229493
