# event jet Delta kt z psi m2 multiplicity 
2 1 0.00141826 0.110357 0.465502 -2.76256 1.70287 2
2 2 0.366133 1.40373 0.0121671 2.97232 4464.04 51
2 2 0.353805 31.3819 0.284506 1.21177 4116.42 48
2 2 0.315124 4.99743 0.0710753 -1.86161 925.444 38
2 2 0.22552 0.345919 0.00739917 -0.0356621 404.721 29
2 2 0.216994 2.30672 0.0516489 2.03984 374.691 27
2 2 0.139695 0.364111 0.0133534 1.26072 212.514 24
2 2 0.114422 4.52011 0.204985 2.49437 198.524 23
2 2 0.0469594 3.15282 0.438215 -1.60646 59.7671 16
2 2 0.03333 0.87819 0.306118 1.29968 6.54439 8
2 2 0.0213714 0.586284 0.45931 2.72376 2.97521 4
2 2 0.00663519 0.0863225 0.402858 2.17611 1.10303 3
2 3 0.315035 1.6128 0.0372695 0.685713 709.542 42
2 3 0.281186 7.29926 0.195271 -0.406903 515.336 37
2 3 0.218809 3.04289 0.129895 -2.12837 220.682 31
2 3 0.162057 6.62615 0.437557 2.9632 113.693 22
2 3 0.109561 1.96451 0.340937 -2.34806 18.2534 11
2 3 0.0971576 1.51902 0.450736 2.4717 6.11248 9
2 3 0.085627 0.502862 0.308222 -1.87034 0.881056 6
2 3 0.0607794 0.0937036 0.116946 0.332458 0.131074 4
2 3 0.0322696 0.0201238 0.0535679 -2.77777 0.0572124 3
2 3 0.0206508 0.0995629 0.437571 0.880273 0.0473765 2
2 4 0.167136 0.156984 0.00732497 0.0195779 195.129 18
2 4 0.125064 0.342983 0.0215448 -1.99717 185.999 16
2 4 0.0675488 0.323074 0.0383994 0.746385 20.0212 12
2 4 0.0532909 2.70038 0.422993 2.41383 15.4405 10
2 4 0.040539 0.00407076 0.00145273 0.275409 2.34933 7
2 4 0.0354438 0.532871 0.217818 -1.72377 2.33454 6
2 4 0.0262407 0.442729 0.31249 -2.8568 0.958285 5
2 4 0.0237412 0.246384 0.279578 1.36754 0.319506 4
2 4 0.0114953 0.0801834 0.260835 0.168205 0.0182196 2
2 5 0.348244 1.20904 0.0679522 -0.565404 162.357 27
2 5 0.343352 0.787654 0.0481116 0.809876 119.385 23
2 5 0.333577 0.0272214 0.00179784 2.62488 88.9341 20
2 5 0.305883 0.346354 0.0249835 -2.10622 88.365 19
2 5 0.239049 2.17149 0.205557 1.65623 77.4691 17
2 5 0.164828 1.39002 0.239663 2.84832 45.2992 13
2 5 0.160186 1.81542 0.423575 1.42202 8.33178 10
2 5 0.103341 0.790095 0.495244 0.548942 1.35102 5
2 5 0.0735904 0.214189 0.373497 1.83165 0.342303 3
2 6 0.263855 0.870609 0.0718927 0.500824 75.5774 24
2 6 0.266291 3.3989 0.299289 1.98351 53.7158 20
2 6 0.212837 0.314664 0.0494416 -0.680774 11.3406 10
2 6 0.174228 1.43973 0.290432 -2.16975 8.93585 7
2 6 0.0545208 0.546444 0.496309 -0.536712 0.397161 3
2 7 0.373619 1.81643 0.13651 -1.20151 95.297 21
2 7 0.267568 0.156474 0.0190158 1.40191 40.2984 14
2 7 0.213182 0.323587 0.0502598 3.02724 37.223 13
2 7 0.183313 1.99726 0.379816 -1.73211 28.176 11
2 7 0.157702 1.00315 0.356582 0.214584 6.59536 7
2 7 0.132466 0.346319 0.227776 1.5885 2.6436 5
2 7 0.0772743 0.226621 0.330844 1.92381 0.882799 4
2 7 0.049789 0.115896 0.392383 -2.28944 0.481686 3
2 7 0.0296165 0.00689903 0.0646231 0.241287 0.280553 2
3 0 0.231558 93.4975 0.352988 1.0779 19081.6 83
3 0 0.194927 0.161791 0.00112146 2.6996 1310.48 49
3 0 0.13308 0.559259 0.00568422 -0.365518 1084.17 48
3 0 0.126598 3.15731 0.0339261 1.47012 905.985 45
3 0 0.0741369 0.217878 0.00413816 -3.06212 513.306 40
3 0 0.0624158 0.281353 0.00637355 -0.0481021 495.123 39
3 0 0.0494836 0.537961 0.01547 -1.30114 479.71 38
3 0 0.0450353 0.94556 0.0303461 0.981084 452.455 36
3 0 0.0300527 0.675808 0.0335185 -2.7342 319.909 32
3 0 0.0235668 0.527073 0.034492 2.5937 118.424 28
3 0 0.0220351 0.370507 0.0268579 -0.429187 104.148 26
3 0 0.0194102 0.397825 0.0336416 1.59461 53.4612 24
3 0 0.0134323 2.60606 0.329542 -1.90392 45.863 22
3 0 0.0100851 1.00402 0.252209 -3.06561 8.01525 16
3 0 0.00932433 0.662855 0.240835 -1.1318 3.55485 12
3 0 0.00855078 0.0609239 0.0317954 0.173944 0.778486 7
3 0 0.00632283 0.0925133 0.0674384 2.18654 0.644302 6
3 0 0.00486712 0.265445 0.26955 0.644541 0.49048 5
3 0 0.00382392 0.241835 0.427912 3.0242 0.218798 4
3 0 0.00232328 0.0393365 0.200252 0.211754 0.0543976 3
3 0 0.0017001 0.05151 0.448069 1.15316 0.0385622 2
3 1 0.315824 11.3984 0.0423332 -0.0650858 7100.08 88
3 1 0.207314 1.19782 0.00707562 2.94605 2546.59 65
3 1 0.131799 1.09221 0.0102205 2.06167 2264.15 60
3 1 0.129554 16.9588 0.16296 0.445632 2097.26 57
3 1 0.128298 0.603095 0.00699126 -1.52421 396.277 40
3 1 0.0609273 0.497128 0.0122205 -2.1722 254.098 35
3 1 0.0478811 0.281283 0.00890742 1.11272 225.092 33
3 1 0.0412816 1.48627 0.0550782 -0.206766 209.951 31
3 1 0.0336509 2.91631 0.140298 -3.08363 162.538 28
3 1 0.0309389 1.91917 0.116808 -1.86779 81.1598 23
3 1 0.019792 2.74991 0.296225 0.0593326 42.8797 18
3 1 0.0190788 0.579741 0.0920531 1.98321 12.0164 12
3 1 0.0127762 1.32102 0.344988 -1.40232 7.38424 10
3 1 0.00904587 0.360016 0.202729 2.6762 2.49731 7
3 1 0.00775275 0.146694 0.12089 0.729803 0.316206 5
3 1 0.00521016 0.23197 0.323575 -0.0597422 0.140413 4
3 1 0.00489957 0.00114012 0.00250016 -1.54506 0.0188883 3
3 1 0.00300864 0.103801 0.371613 -2.26637 0.0182196 2
3 2 0.347342 0.543391 0.00728332 -0.575635 458.195 36
3 2 0.326095 0.252096 0.00362485 3.03572 406.827 33
3 2 0.217964 2.44516 0.0527816 1.15547 375.013 30
3 2 0.185425 0.990563 0.0265351 -1.72007 241.146 25
3 2 0.0974616 0.115716 0.00605822 1.62778 187.664 21
3 2 0.0889447 0.436747 0.0252071 -1.02196 178.027 19
3 2 0.0846769 0.991304 0.0616402 0.35147 108.939 17
3 2 0.0792395 0.950017 0.0672628 2.66276 32.9905 13
3 2 0.0369323 1.15973 0.18886 -2.76627 18.8737 10
3 2 0.0272391 1.60156 0.435947 2.02859 9.80681 6
3 2 0.0192358 0.564058 0.385447 -2.50379 0.589508 2
3 3 0.17723 0.132876 0.0121172 -1.45101 10.3351 13
3 3 0.155643 0.14476 0.015216 1.3467 7.11179 11
3 3 0.0601188 1.0256 0.283304 0.162529 4.01403 9
3 3 0.040273 0.0158105 0.00909665 -1.01294 0.634009 4
3 3 0.0286995 0.580214 0.472709 -0.374073 0.601255 3
3 3 0.019328 0.159556 0.366062 -1.65219 0.0973075 2
3 4 0.316074 3.98112 0.447511 2.75364 60.1846 21
3 4 0.297322 0.345039 0.0744717 0.589174 9.62142 12
3 4 0.234804 1.18025 0.348427 1.78072 6.35644 7
3 4 0.150003 0.67734 0.479041 0.0720196 0.768295 3
4 0 0.324353 0.579734 0.00181389 2.35647 6715.16 72
4 0 0.320387 0.187975 0.000596493 -2.57792 6488.8 69
4 0 0.179853 28.4513 0.160869 -1.98013 6425.93 68
4 0 0.174941 0.992713 0.00687678 1.27204 1166.74 50
4 0 0.107957 0.0176911 0.000199965 -0.752621 1006.4 46
4 0 0.106852 0.833559 0.00952096 2.29978 920.144 45
4 0 0.0893818 2.72677 0.0375857 -2.86117 622.229 42
4 0 0.0861476 0.342351 0.00508727 0.544641 298.275 36
4 0 0.0677176 1.23885 0.023539 -1.58971 267.306 34
4 0 0.0444396 0.464323 0.0137678 2.02425 190.925 31
4 0 0.0374759 0.322984 0.011515 -0.10772 171.526 29
4 0 0.0287855 4.00561 0.188075 3.12865 160.7 28
4 0 0.015234 1.1599 0.126743 -1.74555 47.6723 18
4 0 0.0130304 1.1113 0.162573 2.29296 32.1331 14
4 0 0.00786341 0.132281 0.0382925 0.679115 20.5587 10
4 0 0.00647209 0.410468 0.150113 2.30341 18.8596 9
4 0 0.00632366 0.0936273 0.041234 -2.88403 14.9725 6
4 0 0.00520775 0.3373 0.188138 -1.14245 14.1597 5
4 0 0.00282921 0.330054 0.417395 -1.61984 10.0454 4
4 0 0.00145063 0.0580699 0.245836 1.68609 4.77158 2
4 1 0.329876 1.68331 0.0054836 -2.78503 1228.67 28
4 1 0.24366 0.0679587 0.00030137 -1.09497 683.786 26
4 1 0.156295 0.0365236 0.000252579 -0.111443 668.216 25
4 1 0.113666 2.88382 0.0274291 1.30327 662.779 24
4 1 0.0910073 0.110671 0.00135179 -1.80198 293.74 21
4 1 0.0824824 0.126489 0.00170698 -0.59175 284.3 20
4 1 0.0704162 0.807983 0.0127937 0.366929 274.476 19
4 1 0.0648301 0.62633 0.0109114 -2.592 212.19 16
4 1 0.0422725 0.329459 0.00889935 2.81807 172.941 15
4 1 0.0248977 0.23533 0.0108896 0.41184 159.422 14
4 1 0.0107892 0.217567 0.0234885 -2.66007 72.7137 13
4 1 0.00817838 1.42349 0.207616 1.64237 27.9807 11
4 1 0.00528964 0.641334 0.182513 -0.0385624 3.55188 6
4 1 0.00505553 0.546487 0.199053 -1.61738 1.31598 4
4 1 0.000815622 0.0622966 0.175601 -1.25807 0.0182196 2
4 2 0.381737 0.384306 0.0226061 -2.65567 75.7562 23
4 2 0.245753 3.43649 0.320953 1.96338 67.8342 22
4 2 0.237839 2.15422 0.305085 0.704306 19.1387 15
4 2 0.15278 0.809258 0.25653 -0.911899 4.58142 9
4 2 0.142032 1.00863 0.461768 -2.57854 1.4393 5
4 2 0.0211168 0.0489637 0.280114 -2.93004 0.102731 2
4 3 0.314327 5.93941 0.484959 2.67858 52.0435 10
4 3 0.176736 0.737062 0.207317 -2.88935 3.72888 4
4 3 0.14977 0.381316 0.15966 -1.37836 1.23843 3
4 3 0.0666055 0.0863037 0.0966938 1.51894 0.292524 2
4 4 0.322756 3.03828 0.358219 0.938414 103.35 19
4 4 0.319753 0.86317 0.159116 -0.371766 23.899 12
4 4 0.22723 0.169299 0.0521636 2.88613 6.81555 7
4 4 0.197589 0.345524 0.129041 -2.31049 5.40415 5
4 4 0.147926 0.296251 0.169658 1.27617 4.00295 4
4 4 0.0691263 0.0457284 0.0674902 -1.8004 0.972946 2
