# event jet log1overDelta logkt z Delta kt
13 0 5.34075 -0.97246 0.345446 0.00479226 0.378152
14 0 1.32407 3.08944 0.41303 0.26605 21.9648
14 0 1.35683 1.32611 0.124571 0.257476 3.76637
14 0 1.58134 0.849672 0.110543 0.2057 2.33888
14 0 1.77025 0.0559781 0.067823 0.17029 1.05757
14 0 2.16677 -0.903501 0.0414259 0.114548 0.405149
14 0 2.33049 1.17904 0.408467 0.097248 3.25126
14 0 2.86081 -0.333777 0.258436 0.0572222 0.716213
14 0 3.32977 -0.587829 0.432012 0.0358014 0.555532
15 0 1.02428 0.906338 0.0180256 0.359056 2.47524
15 0 1.18685 2.53506 0.110087 0.305181 12.6172
15 0 1.65405 2.74592 0.242917 0.191273 15.5789
15 0 1.868 2.34513 0.266169 0.154432 10.4346
15 0 2.27072 1.70821 0.286979 0.103238 5.51907
15 0 3.07714 0.481687 0.26439 0.0460907 1.6188
15 0 3.5408 -1.29089 0.097082 0.0289901 0.275025
15 0 4.48226 -1.67502 0.187732 0.0113078 0.187304
15 0 4.66309 -1.28689 0.408254 0.00943727 0.276129
16 0 1.02026 -1.6448 0.00154142 0.360502 0.19305
16 0 1.44724 2.90227 0.222933 0.235219 18.2154
16 0 1.41314 2.88621 0.271635 0.243377 17.9252
16 0 1.73495 2.45203 0.333276 0.176408 11.6119
16 0 2.59647 -1.87367 0.0156446 0.0745364 0.153559
16 0 2.64588 -1.74388 0.0190122 0.0709426 0.174841
16 0 3.37665 -0.35532 0.161344 0.0341616 0.700949
16 0 3.45641 -0.080703 0.274191 0.0315427 0.922468
16 0 3.96848 -1.09431 0.228774 0.0189021 0.334771
17 0 0.954704 0.512983 0.0194539 0.384926 1.67027
17 0 1.50439 0.639541 0.0389952 0.222152 1.89561
17 0 1.83749 0.338628 0.0418834 0.159217 1.40302
17 0 2.50716 0.422364 0.0928443 0.0814991 1.52556
17 0 2.51709 -1.17725 0.0208772 0.0806939 0.308124
17 0 2.97667 0.211304 0.135354 0.0509621 1.23529
17 0 3.15829 0.574815 0.269967 0.0424983 1.7768
17 0 3.46504 -1.48562 0.0640235 0.0312717 0.226361
17 0 3.59164 -1.64437 0.0662389 0.0275531 0.193135
17 0 4.12922 -0.966765 0.239119 0.0160954 0.380311
17 0 4.71042 -1.47139 0.339277 0.00900095 0.229606
17 0 5.12333 -2.06658 0.427931 0.00595613 0.126618
18 0 1.03134 -1.12958 0.00532193 0.35653 0.323168
18 0 1.25779 1.31742 0.0773073 0.284282 3.73376
18 0 1.51613 2.60368 0.392278 0.21956 13.5134
18 0 2.08082 -1.06854 0.0288565 0.124828 0.343508
18 0 2.08569 -1.8695 0.0134027 0.124222 0.154201
18 0 2.15106 -1.63097 0.0184075 0.116361 0.19574
18 0 2.42786 0.834105 0.290893 0.0882251 2.30275
18 0 2.80644 0.205074 0.319223 0.0604199 1.22762
18 0 3.28949 -0.694125 0.309284 0.037273 0.499511
18 0 3.62138 -1.06913 0.428876 0.0267458 0.343308
19 0 1.17122 -1.32134 0.00407887 0.309988 0.266777
19 0 1.63442 -0.580611 0.01365 0.195065 0.559557
19 0 1.78964 -0.325559 0.0208578 0.16702 0.722124
19 0 2.16758 -0.907983 0.0173615 0.114454 0.403337
19 0 2.5285 -2.27042 0.0064898 0.0797783 0.103269
19 0 2.89803 -1.89068 0.0138185 0.0551315 0.150969
19 0 3.16244 -0.205689 0.0984208 0.0423224 0.814086
19 0 3.45568 -1.09547 0.0601175 0.0315659 0.334382
19 0 4.82798 -0.915099 0.302163 0.0080027 0.400477
19 0 4.91409 -1.26459 0.332739 0.00734242 0.282356
20 0 1.05438 0.0822364 0.0206709 0.348408 1.08571
20 0 1.40357 -2.36647 0.00258577 0.245719 0.0938113
20 0 1.65296 0.435238 0.0547849 0.191482 1.54533
20 0 2.25318 -0.770106 0.0316464 0.105064 0.462964
20 0 2.92801 -3.29217 0.0051528 0.0535035 0.0371733
20 0 3.04367 -2.87189 0.00885201 0.0476598 0.056592
20 0 4.25371 -0.298817 0.392541 0.0142115 0.741695
20 0 4.33131 -1.0161 0.34084 0.0131503 0.362003
20 0 4.91096 -2.05804 0.32568 0.00736541 0.127705
21 0 1.39877 2.53826 0.13023 0.246902 12.6577
21 0 2.44175 -3.06659 0.00156354 0.0870087 0.0465799
21 0 3.52819 -1.03158 0.0355154 0.0293579 0.356445
21 0 4.03336 0.0513953 0.180235 0.0177147 1.05274
21 0 5.05242 -0.666323 0.297179 0.00639387 0.513593
21 0 5.38384 -2.09108 0.141691 0.00459016 0.123553
22 0 1.29429 -0.29628 0.0125546 0.274091 0.743579
22 0 1.59555 2.32244 0.235371 0.202797 10.2006
22 0 2.1336 -3.68966 0.00129107 0.11841 0.0249805
22 0 2.19935 -3.35907 0.00192149 0.110875 0.0347676
22 0 2.93035 -0.854746 0.0489277 0.0533782 0.425391
22 0 3.60471 -0.376535 0.162883 0.0271952 0.686235
22 0 3.6471 -0.795419 0.133529 0.0260667 0.451392
22 0 4.03742 -0.763036 0.235178 0.0176429 0.466249
22 0 4.64739 -0.898007 0.494451 0.00958662 0.407381
23 0 1.25193 -0.60804 0.00574063 0.285953 0.544417
23 0 1.4082 -1.3312 0.00327536 0.244582 0.264159
23 0 1.54268 1.6552 0.0743709 0.213808 5.2341
23 0 2.23618 -0.394123 0.0207069 0.106866 0.674271
23 0 2.76383 -0.124404 0.0469309 0.0630498 0.883023
23 0 3.04123 0.298909 0.0992225 0.0477759 1.34839
23 0 3.28145 -0.228075 0.0826865 0.0375739 0.796065
23 0 3.99358 0.265956 0.301117 0.0184336 1.30468
23 0 4.69803 -1.49017 0.150519 0.00911321 0.225333
23 0 5.2826 -6.53071 0.00205701 0.00507922 0.00145797
23 0 5.70849 -1.9734 0.30082 0.00331767 0.138983
23 0 5.97766 -3.05827 0.190312 0.00253474 0.0469691
24 0 1.02891 1.09186 0.0252477 0.357396 2.97982
24 0 1.15002 -0.739917 0.00468157 0.31663 0.477153
24 0 1.55369 3.15 0.342727 0.211466 23.336
24 0 1.61239 0.530215 0.0402586 0.199411 1.6993
24 0 2.97444 1.41482 0.396657 0.0510758 4.11575
24 0 3.51946 -1.84091 0.0437114 0.0296154 0.158674
24 0 3.63467 -0.253742 0.250801 0.0263927 0.775892
24 0 3.98307 -0.445949 0.391334 0.0186284 0.640217
25 0 1.05239 0.241395 0.0179862 0.349102 1.27302
25 0 1.17668 0.757599 0.0347142 0.3083 2.13315
25 0 1.59643 2.73324 0.394544 0.202618 15.3826
25 0 1.72208 1.87783 0.313187 0.178695 6.53933
25 0 2.08514 -0.489831 0.0614113 0.12429 0.61273
25 0 2.10426 1.21082 0.365102 0.121936 3.35625
25 0 3.0989 -0.463435 0.291418 0.0450989 0.629119
25 0 3.77961 -1.71929 0.231382 0.0228316 0.179194
25 0 4.30633 -2.70919 0.189435 0.0134829 0.0665905
26 0 1.41381 0.629273 0.0215855 0.243214 1.87625
26 0 2.2121 0.619239 0.0485253 0.109471 1.85751
26 0 2.43832 0.719576 0.0706785 0.087307 2.05356
26 0 2.83284 2.09222 0.445238 0.0588454 8.10292
26 0 3.05476 -0.152824 0.106124 0.047134 0.858281
26 0 3.30411 -1.65735 0.0338384 0.0367321 0.190643
26 0 3.74039 -1.44655 0.0668937 0.0237449 0.235382
26 0 4.61341 -0.859897 0.308589 0.00991796 0.423205
27 0 0.987517 -0.512497 0.00508272 0.3725 0.598998
27 0 1.35684 -2.40537 0.00111336 0.257474 0.0902319
27 0 1.54644 2.82399 0.250538 0.213004 16.8438
27 0 1.89017 0.0199713 0.0285472 0.151047 1.02017
27 0 1.87733 2.35246 0.298542 0.152999 10.5114
27 0 2.02689 0.678299 0.0926387 0.131745 1.97052
27 0 2.61899 1.53879 0.436099 0.0728763 4.65897
27 0 3.09884 0.227471 0.336693 0.0451017 1.25542
27 0 4.61661 -2.4163 0.164628 0.00988627 0.0892514
28 0 0.959058 2.72005 0.417695 0.383254 15.1811
28 0 1.6689 1.04373 0.272716 0.188453 2.83979
28 0 1.77647 -0.347777 0.103769 0.169234 0.706257
28 0 1.94757 -1.57811 0.0401424 0.142621 0.206364
28 0 2.06481 0.166308 0.268747 0.126842 1.18094
28 0 2.30831 0.0444341 0.414971 0.0994296 1.04544
28 0 2.66044 -1.50213 0.214767 0.0699177 0.222655
28 0 3.1754 -2.50279 0.168278 0.0417775 0.0818567
28 0 4.70953 -4.56296 0.119561 0.00900904 0.0104311
29 0 1.34 2.27591 0.215457 0.261844 9.73673
29 0 1.65152 0.075941 0.0415257 0.191758 1.0789
29 0 1.99042 -0.216452 0.0453692 0.136639 0.805371
29 0 2.65467 -1.74638 0.0199965 0.0703217 0.174404
29 0 2.95735 -0.149895 0.136307 0.0519562 0.860798
29 0 3.25281 -1.33311 0.0649523 0.0386653 0.263657
29 0 3.64132 -0.00487189 0.386635 0.0262177 0.99514
29 0 3.82059 -1.37902 0.190825 0.021915 0.251824
29 0 5.16356 -2.24231 0.380995 0.00572131 0.106213
29 0 5.64435 -4.37729 0.117711 0.00353744 0.0125593
30 0 0.944747 -0.29617 0.00807132 0.388778 0.743661
30 0 1.30101 -4.02302 0.000279663 0.272255 0.0178988
30 0 1.49309 -3.01572 0.000928192 0.224678 0.0490108
30 0 1.65719 3.07372 0.481149 0.190674 21.6221
30 0 1.70497 -1.05228 0.0157055 0.181778 0.349142
30 0 2.0713 1.92336 0.451099 0.126021 6.84392
30 0 2.68418 0.130792 0.252546 0.0682771 1.13973
30 0 3.08853 -0.596295 0.244649 0.0455691 0.550848
30 0 3.18968 -2.59328 0.0486442 0.0411849 0.0747743
30 0 3.61313 -1.77826 0.176417 0.0269673 0.168932
30 0 3.95988 -1.69401 0.32961 0.0190654 0.183781
31 0 0.99935 -1.90435 0.00212312 0.368119 0.14892
31 0 1.32103 0.615125 0.036452 0.266861 1.84989
31 0 1.84665 -2.55808 0.00267919 0.157764 0.0774531
31 0 2.56853 -0.634172 0.0378599 0.0766484 0.530374
31 0 2.70441 -2.50221 0.00696104 0.0669097 0.0819039
31 0 3.02758 -3.81977 0.00259326 0.0484327 0.0219327
31 0 3.28501 -0.565728 0.0870916 0.0374401 0.567947
31 0 3.78908 -1.21119 0.0828195 0.0226164 0.297842
31 0 3.92782 -0.172302 0.293167 0.0196865 0.841725
31 0 4.53534 -2.48773 0.0751733 0.0107232 0.0830984
31 0 6.35567 -3.41229 0.199081 0.00173687 0.0329656
32 0 0.928494 -0.779369 0.00284311 0.395148 0.458695
32 0 1.36879 -0.223788 0.0077168 0.254414 0.799484
32 0 1.46475 -0.898039 0.00436142 0.231135 0.407368
32 0 1.62358 -1.01888 0.00454996 0.197191 0.361001
32 0 2.27917 1.12061 0.0747892 0.102369 3.06671
32 0 2.32526 0.826114 0.0630369 0.0977583 2.28442
32 0 2.40292 -1.27679 0.0088781 0.0904534 0.27893
32 0 2.83395 -1.55442 0.0104426 0.0587801 0.211311
32 0 3.23112 0.140071 0.0854562 0.0395133 1.15036
32 0 3.82408 -2.33941 0.0141657 0.0218384 0.0963848
32 0 4.08159 -0.870278 0.0807791 0.0168806 0.418835
32 0 4.54932 -0.709847 0.164697 0.0105743 0.491719
32 0 4.85138 -2.77216 0.0339134 0.00781756 0.0625267
32 0 5.8263 -3.50518 0.0447104 0.00294897 0.0300413
33 0 0.99073 -1.11227 0.00331066 0.371306 0.32881
33 0 1.39131 -0.0986429 0.0136579 0.24875 0.906066
33 0 2.1687 -1.39956 0.00820337 0.114326 0.246705
33 0 3.55121 0.195947 0.16251 0.02869 1.21646
33 0 4.40491 0.203836 0.459281 0.0122172 1.2261
33 0 4.58224 -0.642527 0.435058 0.010232 0.525961
34 0 1.01059 -1.18799 0.0126151 0.364004 0.304835
34 0 1.21227 -1.25938 0.014551 0.29752 0.283831
34 0 1.99464 -0.31648 0.0828419 0.136062 0.72871
34 0 2.08141 -5.90133 0.000369845 0.124754 0.00273582
34 0 2.54767 -0.111262 0.192803 0.0782636 0.894705
34 0 2.80188 0.315784 0.471945 0.0606956 1.37133
34 0 3.45482 -1.49383 0.281103 0.031593 0.224512
34 0 3.59376 -3.32592 0.0719223 0.0274947 0.0359393
35 0 1.03969 -0.566629 0.00512076 0.353563 0.567435
35 0 1.15334 -0.934695 0.00399018 0.315583 0.392706
35 0 1.45595 2.14825 0.118305 0.233178 8.56983
35 0 1.69179 2.97421 0.386447 0.184189 19.5741
35 0 1.72048 -0.573249 0.0186633 0.178981 0.563691
35 0 2.06856 0.738734 0.100023 0.126368 2.09328
35 0 2.59256 -0.187838 0.0743042 0.0748281 0.828749
