# event jet log1overDelta logkt z Delta kt
33 0 2.77834 -2.91043 0.0839095 0.0621414 0.0544521
33 0 2.77444 -2.43944 0.146124 0.0623843 0.08721
34 0 0.943956 0.287883 0.0319684 0.389086 1.3336
34 0 1.0869 0.265989 0.0372317 0.337259 1.30472
34 0 1.22161 -0.0391769 0.0326101 0.294755 0.961581
34 0 1.98297 -0.41049 0.0497686 0.13766 0.663325
34 0 2.40707 -1.49676 0.0270113 0.0900786 0.223854
34 0 2.5889 -1.81063 0.0243258 0.0751028 0.163552
34 0 3.10265 -0.0192271 0.249919 0.0449299 0.980957
34 0 3.35758 -1.71214 0.079099 0.0348196 0.18048
34 0 3.44779 -3.07713 0.0240064 0.031816 0.0460915
34 0 4.20555 -1.24064 0.32926 0.0149126 0.2892
34 0 5.11753 -2.16567 0.484525 0.0059908 0.114673
34 0 5.17466 -5.25573 0.045282 0.00565813 0.00521755
36 0 2.71311 -0.445214 0.32487 0.06633 0.640687
36 0 3.41892 -3.26525 0.0580918 0.0327477 0.0381875
36 0 3.76764 -3.0642 0.106872 0.0231066 0.0466912
37 0 0.992116 -1.29061 0.0227636 0.370791 0.275102
37 0 1.1386 -0.401747 0.0653933 0.320268 0.66915
37 0 1.58202 0.803312 0.362154 0.205559 2.23293
37 0 2.17396 -1.38743 0.114742 0.113726 0.249715
37 0 2.68441 -0.891236 0.354562 0.0682616 0.410149
37 0 3.34769 -1.96425 0.364662 0.0351654 0.140261
37 0 4.01367 -2.89465 0.440591 0.018067 0.0553186
38 0 7.46582 -5.81482 0.0665711 0.000572313 0.00298301
39 0 1.18164 -0.427115 0.0356051 0.306774 0.652388
39 0 1.5271 -0.446298 0.0511582 0.217165 0.639993
39 0 1.71163 -2.73081 0.00660212 0.180572 0.0651668
39 0 2.27933 -1.44259 0.0425168 0.102352 0.236314
39 0 2.33872 -0.901063 0.0809621 0.0964506 0.406138
39 0 3.27654 -0.652765 0.288407 0.0377588 0.520605
39 0 4.28208 -1.4687 0.489914 0.0138139 0.230225
40 0 0.972192 -3.04316 0.00382609 0.378253 0.0476838
40 0 1.35747 0.591012 0.213351 0.257311 1.80582
40 0 1.64009 0.706866 0.403576 0.193962 2.02763
40 0 1.58974 0.264041 0.411782 0.203978 1.30218
42 0 1.20163 -0.691201 0.0781792 0.300703 0.500974
42 0 1.46233 -0.831075 0.0954883 0.231695 0.435581
42 0 2.19088 -1.22331 0.147665 0.111819 0.294254
43 0 1.04063 -1.37394 0.0134942 0.353232 0.253109
43 0 1.12301 -0.179212 0.0489669 0.3253 0.835929
43 0 1.97706 0.684789 0.286416 0.138476 1.98335
43 0 2.17532 0.102326 0.273231 0.113572 1.10774
43 0 2.97994 -0.476675 0.471102 0.050796 0.620844
43 0 3.57104 -3.50081 0.0781767 0.0281265 0.0301728
44 0 1.64382 -2.42577 0.00647588 0.19324 0.08841
44 0 1.69242 -3.97214 0.0014576 0.184074 0.018833
