# event jet log1overDelta logkt z Delta kt
23 0 1.16714 2.19057 0.0532068 0.311257 8.94031
23 0 1.82072 3.28991 0.324297 0.161909 26.8403
23 0 1.99095 2.32075 0.215571 0.136565 10.1833
23 0 2.19807 2.29936 0.330513 0.111018 9.96782
23 0 4.6031 -0.183705 0.456616 0.0100208 0.832181
24 0 1.00679 0.395259 0.00684982 0.365388 1.48477
24 0 1.44381 -0.429903 0.00467785 0.236026 0.650572
24 0 1.59688 3.14968 0.196123 0.202528 23.3285
24 0 1.78699 -0.0573256 0.011943 0.167463 0.944287
24 0 2.18698 -1.51343 0.0042039 0.112256 0.220153
24 0 2.66957 2.03007 0.23659 0.0692817 7.61466
24 0 3.29005 0.883788 0.183179 0.0372518 2.42005
24 0 3.84091 -0.0242966 0.156894 0.021474 0.975996
24 0 4.54118 -0.312067 0.281106 0.0106608 0.731932
24 0 4.70646 -1.58447 0.129236 0.00903672 0.205056
24 0 6.26517 -2.39218 0.314515 0.00190139 0.0914304
25 0 0.962403 2.22824 0.0189992 0.381974 9.28356
25 0 1.11179 2.14565 0.020683 0.328969 8.54757
25 0 1.25842 -0.726131 0.0013841 0.284104 0.483777
25 0 1.85419 1.3249 0.0195516 0.15658 3.7618
25 0 2.01163 -2.04522 0.000802619 0.133771 0.129352
25 0 2.11016 -1.36482 0.00175042 0.121218 0.255427
25 0 2.50035 2.09786 0.0826175 0.0820562 8.14868
25 0 2.60126 1.12277 0.0375693 0.0741799 3.07334
25 0 2.74808 -0.49905 0.00893052 0.0640505 0.607107
25 0 2.93983 1.53542 0.083484 0.0528745 4.64327
25 0 3.2892 0.583824 0.0498775 0.0372838 1.79288
25 0 3.8223 -1.06525 0.0171974 0.0218774 0.34464
25 0 4.50051 0.613422 0.184746 0.0111033 1.84674
25 0 4.70844 -4.03862 0.00266213 0.00901884 0.0176218
25 0 5.08209 -0.194236 0.181239 0.00620695 0.823463
25 0 6.01671 -0.375035 0.470412 0.00243767 0.687265
26 0 1.08528 2.27598 0.0452895 0.337806 9.7375
26 0 1.53629 1.28794 0.0277134 0.215178 3.62531
26 0 1.83239 -0.918823 0.00421781 0.160031 0.398988
26 0 2.2987 1.83306 0.105817 0.10039 6.25297
26 0 2.7892 2.56834 0.40304 0.0614705 13.0441
26 0 3.5386 0.652461 0.210284 0.0290541 1.92026
27 0 1.54338 -0.540843 0.00678104 0.213659 0.582257
27 0 2.93674 -0.184 0.0392952 0.0530385 0.831936
27 0 3.66267 0.15169 0.118252 0.0256639 1.1638
27 0 3.87089 -1.20642 0.042469 0.0208398 0.299267
27 0 4.46427 0.0748156 0.2891 0.0115131 1.07769
27 0 4.73792 -0.556427 0.284406 0.00875682 0.573253
27 0 6.3363 -2.02094 0.454369 0.00177084 0.132531
28 0 0.986392 2.18058 0.047211 0.37292 8.85141
28 0 1.23819 -1.59598 0.00145966 0.289908 0.20271
28 0 1.77612 0.82645 0.0282193 0.169294 2.28519
28 0 2.12331 2.47886 0.214237 0.119635 11.9277
28 0 3.64564 -0.733447 0.0503096 0.0261048 0.480251
28 0 3.90747 -0.0110522 0.141745 0.0200913 0.989009
28 0 5.27906 -0.374242 0.452726 0.0050972 0.68781
28 0 5.54186 -1.78523 0.26241 0.00391921 0.167759
29 0 1.03147 0.951214 0.0131013 0.356483 2.58885
29 0 1.13542 -0.382246 0.00388216 0.321286 0.682327
29 0 2.05922 -2.92432 0.000772601 0.127553 0.0537013
29 0 2.507 2.13048 0.189682 0.0815124 8.41893
29 0 2.64442 0.718493 0.0654301 0.0710463 2.05134
29 0 4.28843 0.3842 0.259398 0.0137264 1.46844
30 0 2.36424 2.58977 0.300743 0.094021 13.3267
30 0 2.54389 -0.340177 0.0274843 0.0785603 0.711644
30 0 3.49647 0.620197 0.191405 0.0303041 1.85929
30 0 3.68617 1.03669 0.433998 0.0250678 2.81986
31 0 0.977944 -0.99382 0.00124729 0.376084 0.37016
31 0 1.11628 -2.87666 0.000218212 0.327495 0.0563228
31 0 1.28114 -0.442352 0.00293583 0.277719 0.642523
31 0 1.75552 -2.75112 0.000470262 0.172817 0.0638563
31 0 2.32604 -0.371076 0.00899379 0.0976815 0.689991
31 0 3.3165 -0.626542 0.0189264 0.0362795 0.534436
31 0 3.48007 0.109101 0.0474123 0.0308051 1.11527
31 0 4.07125 -0.985678 0.0300796 0.0170561 0.373186
31 0 4.55329 -0.397217 0.0904581 0.0105325 0.672188
31 0 4.79924 0.402381 0.282944 0.00823597 1.49538
31 0 5.51871 -1.35935 0.139155 0.00401102 0.256828
31 0 5.42533 -0.170191 0.483571 0.00440363 0.843504
32 0 0.934122 -1.10351 0.00223864 0.392931 0.331705
32 0 1.33413 1.19515 0.0333383 0.263386 3.30405
32 0 1.49929 2.36982 0.13169 0.223288 10.6955
32 0 2.44366 2.56151 0.472166 0.086842 12.9554
32 0 2.56744 1.78208 0.464201 0.0767319 5.94219
33 0 1.3497 5.24712 0.342868 0.259318 190.018
33 0 1.64346 -0.0355529 0.00355459 0.193311 0.965072
33 0 1.73142 3.06966 0.0868901 0.177032 21.5347
33 0 1.81011 1.08195 0.0141025 0.163637 2.95042
33 0 1.99627 -1.25089 0.00167175 0.135841 0.286249
